ID,Nombre,Goles,Foto,DefaultFoto,FechaNacimiento,Posicion,LugarNacimiento,Apodo,CampeonatosUruguayos,TitulosInternacionales,Oficiales_partidosjugados,Oficiales_partidosganados,Oficiales_partidosempatados,Oficiales_partidosperdidos,Oficiales_golesmarcados,Amistosos_partidosjugados,Amistosos_partidosganados,Amistosos_partidosempatados,Amistosos_partidosperdidos,Amistosos_golesmarcados,ClasicosOficiales_partidosjugados,ClasicosOficiales_partidosganados,ClasicosOficiales_partidosempatados,ClasicosOficiales_partidosperdidos,ClasicosOficiales_golesmarcados,ClasicosAmistosos_partidosjugados,ClasicosAmistosos_partidosganados,ClasicosAmistosos_partidosempatados,ClasicosAmistosos_partidosperdidos,ClasicosAmistosos_golesmarcados
298,Yeso Amalfi,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\298.jpg,False,06/12/1925,dcDefensa central,"São Paulo, Brasil",-,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,César Manuel Rodríguez,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\300.jpg,False,-,vcVolante central,-,-,0.0,0.0,10.0,6.0,1.0,3.0,0.0,12.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,Mirto Lenin Davoine,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\301.jpg,False,13/02/1933,dcDefensa central,"Montevideo, Uruguay",-,0.0,0.0,154.0,106.0,29.0,19.0,1.0,99.0,56.0,23.0,20.0,0.0,23.0,10.0,7.0,6.0,0.0,2.0,1.0,1.0,0.0,0.0
302,Carlos Luis Borges,82,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\302.jpg,False,14/01/1932,dDelantero,"Montevideo, Uruguay",Lucho,0.0,0.0,165.0,99.0,41.0,25.0,48.0,107.0,61.0,22.0,24.0,34.0,24.0,8.0,10.0,6.0,4.0,1.0,1.0,0.0,0.0,1.0
303,Ismael Cabrera,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\303.jpg,True,-,voVolante ofensivo,-,-,0.0,0.0,6.0,5.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,Dante De Simone,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\304.jpg,True,-,voVolante ofensivo,-,-,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,Américo Natalio Galván,50,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\305.jpg,False,-,dDelantero,-,-,0.0,0.0,59.0,44.0,12.0,3.0,32.0,50.0,28.0,8.0,14.0,18.0,7.0,5.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0
306,Omar Medina,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\306.jpg,True,-,dDelantero,-,-,0.0,0.0,4.0,4.0,0.0,0.0,1.0,6.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,Luis Alberto Miramontes,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\307.jpg,False,15/12/1928,dDelantero,-,-,0.0,0.0,8.0,5.0,2.0,1.0,0.0,19.0,15.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
308,Gumersindo Morales,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\308.jpg,True,-,dcDefensa central,Brasil,Bedeu,0.0,0.0,8.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,Marcelo Pereyra,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\309.jpg,True,-,dcDefensa central,-,-,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,Manuel Verdes,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\310.jpg,True,-,ldLateral derecho,-,-,0.0,0.0,6.0,2.0,3.0,1.0,0.0,13.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,Casimiro Yankowiecz,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\311.jpg,False,-,dcDefensa central,-,-,0.0,0.0,29.0,17.0,8.0,4.0,0.0,15.0,14.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
313,Joel Alberto Romero,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\313.jpg,False,-,liLateral izquierdo,-,-,0.0,0.0,82.0,63.0,11.0,8.0,0.0,38.0,25.0,5.0,8.0,0.0,10.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
314,Héctor Mario Uzal,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\314.jpg,False,-,dcDefensa central,Argentina,Cacho,0.0,0.0,31.0,22.0,6.0,3.0,0.0,15.0,11.0,1.0,3.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
315,Bernabé Fausto,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\315.jpg,True,-,dDelantero,-,-,0.0,0.0,8.0,6.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,Juan Manuel Romay,70,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\316.jpg,False,27/02/1925,dDelantero,"Buenos Aires, Argentina",-,0.0,0.0,72.0,43.0,21.0,8.0,46.0,73.0,45.0,12.0,16.0,24.0,8.0,4.0,3.0,1.0,6.0,2.0,0.0,1.0,1.0,2.0
317,Luis Bayón,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\317.jpg,True,-,liLateral izquierdo,-,-,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,Felipe Carrizo,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\318.jpg,False,-,dcDefensa central,-,-,0.0,0.0,28.0,19.0,4.0,5.0,0.0,21.0,14.0,0.0,7.0,1.0,6.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0
319,Antonio Dimitrio,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\319.jpg,False,12/11/1926,gGolero,-,-,0.0,0.0,11.0,3.0,7.0,1.0,0.0,26.0,20.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,Roberto Guelmo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\320.jpg,True,-,vcVolante central,-,-,0.0,0.0,25.0,13.0,8.0,4.0,0.0,41.0,29.0,6.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
321,Ernesto Sebastián Ledesma,16,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\321.jpg,False,23/10/1930,vcVolante central,"Montevideo, Uruguay",Cholo,0.0,0.0,45.0,26.0,8.0,11.0,4.0,87.0,57.0,12.0,18.0,14.0,6.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
322,Teófilo Martínez,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\322.jpg,True,-,dDelantero,-,-,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,Pedro Nardelli,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\323.jpg,False,28/11/1926,vcVolante central,"Asunción, Paraguay",-,0.0,0.0,29.0,21.0,3.0,5.0,2.0,29.0,21.0,4.0,4.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
324,Fabiano Pereyra,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\324.jpg,True,-,dDelantero,-,-,0.0,0.0,5.0,2.0,3.0,0.0,0.0,15.0,11.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,Fermín Sosa,5,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\325.jpg,False,-,voVolante ofensivo,-,-,0.0,0.0,2.0,0.0,2.0,0.0,1.0,7.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,Osvaldo César Balseiro Bessonart,18,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\326.jpg,False,08/08/1928,dDelantero,"Flores, Uruguay",-,0.0,0.0,49.0,27.0,12.0,10.0,3.0,52.0,29.0,12.0,11.0,15.0,5.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
327,Horacio Eirín,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\327.jpg,True,-,voVolante ofensivo,-,-,0.0,0.0,4.0,0.0,4.0,0.0,0.0,7.0,5.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,Carlos Esteban González,6,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\328.jpg,True,-,voVolante ofensivo,-,-,0.0,0.0,3.0,1.0,2.0,0.0,2.0,5.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,Ángel Omar Miranda,6,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\329.jpg,True,-,voVolante ofensivo,-,-,0.0,0.0,4.0,1.0,2.0,1.0,0.0,12.0,8.0,2.0,2.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,Donald Peláez,8,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\330.jpg,False,-,dDelantero,"Colonia, Uruguay",-,0.0,0.0,26.0,12.0,9.0,5.0,3.0,21.0,9.0,5.0,7.0,5.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
331,Rodolfo Pippo,30,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\331.jpg,False,-,dDelantero,-,-,0.0,0.0,30.0,21.0,7.0,2.0,17.0,39.0,22.0,7.0,10.0,13.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
332,Roberto Francisco Vanoli,5,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\332.jpg,False,22/06/1928,liLateral izquierdo,"Montevideo, Uruguay",-,0.0,0.0,106.0,67.0,27.0,12.0,3.0,66.0,36.0,16.0,14.0,2.0,14.0,5.0,6.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0
333,Roberto Francisco Gonzalvo,9,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\333.jpg,False,21/09/1930,vcVolante central,"Rocha, Uruguay",Canario,0.0,0.0,135.0,83.0,28.0,24.0,9.0,102.0,57.0,25.0,20.0,0.0,19.0,7.0,7.0,5.0,0.0,2.0,1.0,1.0,0.0,0.0
334,Teodoro Antonio Cherro,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\334.jpg,True,-,dDelantero,-,Chiche,0.0,0.0,4.0,1.0,3.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,Roque Fernández,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\335.jpg,True,-,dcDefensa central,Uruguay,-,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,Juan Carlos González Plada,9,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\336.jpg,True,-,voVolante ofensivo,-,-,0.0,0.0,5.0,3.0,1.0,1.0,0.0,15.0,11.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,José María Milán,17,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\337.jpg,True,-,voVolante ofensivo,-,-,0.0,0.0,19.0,11.0,6.0,2.0,6.0,27.0,14.0,7.0,6.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,Carlos Rosas Riolfo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\338.jpg,True,-,voVolante ofensivo,-,-,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,Jorge José Arteaga,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\339.jpg,True,-,liLateral izquierdo,-,-,0.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
341,Juan Carlos García,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\341.jpg,True,-,dDelantero,-,-,0.0,0.0,6.0,6.0,0.0,0.0,3.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,Juan José García,11,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\342.jpg,True,-,dDelantero,-,Pitongo,0.0,0.0,13.0,11.0,1.0,1.0,7.0,7.0,6.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,Luis Conrado Borghini,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\343.jpg,False,-,gGolero,-,-,0.0,0.0,26.0,15.0,10.0,1.0,0.0,19.0,10.0,4.0,5.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,Roberto José Saba,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\344.jpg,False,-,vcVolante central,Argentina,-,0.0,0.0,3.0,2.0,1.0,0.0,0.0,13.0,7.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345,Mauricio Aguirre,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\345.jpg,True,-,gGolero,-,-,0.0,0.0,3.0,2.0,1.0,0.0,0.0,5.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,Milton Alves Da Silva,5,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\346.jpg,False,16/10/1931,dcDefensa central,"Porto Alegre, Brasil",Salvador,0.0,0.0,112.0,64.0,30.0,18.0,3.0,97.0,49.0,26.0,22.0,2.0,18.0,6.0,7.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0
347,Juan Burgueño Pereira,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\347.jpg,False,-,dDelantero,"Montevideo, Uruguay",Cumba,0.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,6.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348,Ubaldo Faina,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\348.jpg,False,25/05/1928,vcVolante central,Argentina,-,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,Luis María Maidana,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\349.jpg,False,22/02/1934,gGolero,"Maldonado, Uruguay",Gato,0.0,0.0,251.0,168.0,46.0,37.0,0.0,169.0,90.0,38.0,41.0,0.0,35.0,15.0,11.0,9.0,0.0,4.0,0.0,4.0,0.0,0.0
350,William Rúben Martínez,12,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\350.jpg,False,13/01/1928,dcDefensa central,"Montevideo, Uruguay",-,0.0,0.0,168.0,98.0,46.0,24.0,8.0,99.0,50.0,21.0,28.0,4.0,21.0,8.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
351,Elio Rubén Montaño,68,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\351.jpg,False,29/08/1929,dDelantero,"Santa Fé, Argentina",Loco,0.0,0.0,67.0,43.0,11.0,13.0,51.0,34.0,20.0,9.0,5.0,17.0,10.0,2.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
352,Samuel Orellano,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\352.jpg,False,10/03/1934,dDelantero,"Colonia, Uruguay",-,0.0,0.0,7.0,5.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,Julio César Toja,9,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\353.jpg,False,-,voVolante ofensivo,-,-,0.0,0.0,16.0,10.0,2.0,4.0,3.0,37.0,14.0,10.0,13.0,6.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
354,Darwin Varela,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\354.jpg,True,-,ldLateral derecho,-,-,0.0,0.0,25.0,17.0,3.0,5.0,2.0,24.0,15.0,5.0,4.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
355,Elías Barrios,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\355.jpg,False,-,vcVolante central,-,-,0.0,0.0,10.0,5.0,5.0,0.0,0.0,23.0,12.0,5.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
356,Óscar Leicht,20,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\356.jpg,False,02/07/1938,dDelantero,"Colonia, Uruguay",-,0.0,0.0,62.0,38.0,12.0,12.0,16.0,38.0,18.0,10.0,10.0,4.0,9.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
357,Fernando Varela,16,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\357.jpg,True,-,dDelantero,-,-,0.0,0.0,4.0,3.0,0.0,1.0,4.0,8.0,7.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358,Nicola Adamo,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\358.jpg,False,11/08/1926,gGolero,"Santiago del Estero, Argentina",-,0.0,0.0,8.0,4.0,1.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,Julio César Araújo,5,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\359.jpg,False,-,voVolante ofensivo,-,Taburete,0.0,0.0,29.0,19.0,7.0,3.0,2.0,18.0,8.0,2.0,8.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
360,Carmelo Charletto,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\360.jpg,True,-,ldLateral derecho,-,-,0.0,0.0,4.0,3.0,1.0,0.0,0.0,7.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,Walter Davoine,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\361.jpg,False,27/03/1935,ldLateral derecho,-,-,0.0,0.0,26.0,15.0,5.0,6.0,0.0,24.0,14.0,8.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
362,Eladio De Souza,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\362.jpg,True,-,ldLateral derecho,-,-,0.0,0.0,4.0,2.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
363,Néstor Gonçálves,12,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\363.jpg,False,27/04/1936,vcVolante central,"Artigas, Uruguay",Tito; Capitan de Capitanes,0.0,0.0,353.0,224.0,71.0,58.0,6.0,233.0,123.0,48.0,62.0,6.0,47.0,17.0,18.0,12.0,1.0,4.0,0.0,3.0,1.0,0.0
364,Carlos Meyer,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\364.jpg,True,-,voVolante ofensivo,-,-,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365,Nelson Alfredo Monzón Sisurqui,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\365.jpg,False,25/02/1935,dDelantero,"Soriano, Uruguay",Bruja,0.0,0.0,6.0,4.0,1.0,1.0,1.0,7.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,Ramón Peña,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\366.jpg,True,-,voVolante ofensivo,-,-,0.0,0.0,2.0,0.0,0.0,2.0,0.0,7.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
367,Nery Quinteros,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\367.jpg,True,-,dcDefensa central,-,-,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,Walter Hugo Aguerre Eboli,8,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\368.jpg,False,12/04/1935,liLateral izquierdo,"Colonia, Uruguay",Caito,0.0,0.0,100.0,62.0,26.0,12.0,5.0,77.0,44.0,13.0,20.0,3.0,11.0,5.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0
369,Rodger Milton Bernardico,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\369.jpg,False,23/05/1935,gGolero,Uruguay,-,0.0,0.0,39.0,23.0,8.0,8.0,0.0,34.0,19.0,8.0,7.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
370,Nelson Omar Cancela,5,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\370.jpg,False,21/10/1929,liLateral izquierdo,"Montevideo, Uruguay",Tango,0.0,0.0,4.0,2.0,1.0,1.0,0.0,8.0,7.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,Rúben Mario Cocchinello,8,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\371.jpg,False,-,dDelantero,"Río Negro, Uruguay",-,0.0,0.0,9.0,6.0,2.0,1.0,4.0,23.0,12.0,4.0,7.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
372,Luis Alberto Cubilla Almeida,48,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\372.jpg,False,28/03/1940,dDelantero,"Paysandú, Uruguay",El Negro,0.0,0.0,85.0,51.0,22.0,12.0,23.0,61.0,31.0,11.0,19.0,25.0,10.0,3.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0
373,Alberto Nicolás Evaristo,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\373.jpg,False,-,dDelantero,-,-,0.0,0.0,6.0,3.0,3.0,0.0,0.0,5.0,3.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
374,José Roberto García,19,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\374.jpg,False,02/01/1938,dDelantero,"Montevideo, Uruguay",La Gata,0.0,0.0,31.0,16.0,6.0,9.0,12.0,27.0,13.0,8.0,6.0,7.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
375,Alberto Nery Hein,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\375.jpg,False,-,dDelantero,"Colonia, Uruguay",-,0.0,0.0,7.0,4.0,2.0,1.0,1.0,7.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376,Francisco Majewski,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\376.jpg,False,01/05/1939,dcDefensa central,"Montevideo, Uruguay",-,0.0,0.0,21.0,14.0,3.0,4.0,0.0,27.0,15.0,4.0,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
377,Estanislao Malinowsky,1,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\377.jpg,False,21/02/1937,vcVolante central,"Montevideo, Uruguay",-,0.0,0.0,7.0,4.0,2.0,1.0,0.0,9.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378,Ángel Omarini,8,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\378.jpg,False,-,dcDefensa central,"Entre Ríos, Argentina",-,0.0,0.0,13.0,8.0,2.0,3.0,7.0,8.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
379,Walter Pérez,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\379.jpg,True,-,dDelantero,-,-,0.0,0.0,4.0,3.0,1.0,0.0,1.0,12.0,9.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
380,Santiago Rúben Pino,2,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\380.jpg,False,20/08/1931,ldLateral derecho,"Montevideo, Uruguay",-,0.0,0.0,74.0,46.0,19.0,9.0,2.0,50.0,23.0,11.0,16.0,0.0,8.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
381,Roberto Roche,4,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\381.jpg,False,-,dDelantero,-,-,0.0,0.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,Braulio María Roldán,0,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\382.jpg,False,-,dcDefensa central,Uruguay,-,0.0,0.0,42.0,23.0,9.0,10.0,0.0,36.0,21.0,6.0,9.0,0.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
383,Carlos Suárez Lisboa,3,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\383.jpg,True,-,voVolante ofensivo,-,-,0.0,0.0,11.0,6.0,2.0,3.0,1.0,9.0,6.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
384,Júpiter Crescio,27,c:\xampp\htdocs\Libros\proyect_1891\src\..\data\images\384.jpg,False,09/05/1930,dDelantero,"Montevideo, Uruguay",-,0.0,0.0,23.0,16.0,5.0,2.0,16.0,28.0,12.0,6.0,10.0,11.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
